length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo
268186,0.624,0.305,0.868,1.38e-05,0.186,0.806,-5.867,0.0269,111.143
226133,0.507,0.00963,0.847,0.0,0.146,0.564,-3.806,0.036,135.232
178560,0.874,0.0412,0.692,7.24e-05,0.324,0.937,-5.28,0.0431,116.017
219043,0.636,0.0185,0.815,0.0,0.163,0.636,-5.098,0.0581,123.063
220293,0.622,0.103,0.807,0.0,0.306,0.892,-6.752,0.408,174.06
225373,0.762,0.15,0.661,0.0,0.256,0.769,-6.075,0.0687,130.009
223666,0.681,0.357,0.697,0.0,0.388,0.775,-11.063,0.0327,119.956
253306,0.634,0.0771,0.69,0.0,0.132,0.645,-7.804,0.052,94.988
216693,0.627,0.468,0.768,0.0,0.126,0.802,-7.775,0.0625,100.071
189093,0.619,0.0194,0.72,1.68e-06,0.218,0.852,-6.584,0.0275,120.874
169866,0.659,0.154,0.911,0.000304,0.191,0.576,-2.28,0.0786,91.999
214846,0.791,0.037,0.862,2.19e-05,0.0814,0.592,-3.24,0.11,123.994
171360,0.597,0.00427,0.837,0.00114,0.839,0.447,-6.518,0.375,126.342
268653,0.683,0.00481,0.937,0.0046,0.07,0.619,-6.335,0.0449,104.872
238506,0.849,0.00301,0.599,0.000249,0.0763,0.761,-8.164,0.227,126.003
207613,0.715,0.175,0.812,0.000134,0.044,0.554,-5.758,0.062,128.04
214819,0.751,0.0504,0.901,0.00308,0.0395,0.973,-5.802,0.0328,124.017
170000,0.678,0.467,0.61,0.0,0.397,0.919,-10.509,0.0306,117.04
243160,0.425,0.00414,0.954,0.0,0.0555,0.933,-3.756,0.0476,178.043
198001,0.828,0.548,0.56,3.66e-05,0.15,0.872,-6.685,0.0327,122.054
215693,0.668,0.0191,0.857,6.71e-06,0.0385,0.748,-2.944,0.0535,131.959
283747,0.822,0.259,0.969,0.000153,0.39,0.765,-11.471,0.0582,128.007
194906,0.48,0.137,0.832,0.0,0.354,0.648,-5.663,0.0426,186.875
194360,0.728,0.148,0.794,0.0,0.0688,0.523,-3.992,0.0635,112.071
217106,0.655,0.14,0.822,0.0,0.298,0.859,-5.755,0.211,171.983
220640,0.824,0.00521,0.836,0.000817,0.112,0.716,-5.903,0.0404,122.014
263826,0.853,0.00334,0.599,7.93e-06,0.0759,0.843,-4.756,0.0411,119.993
201240,0.672,0.0362,0.655,0.0,0.117,0.556,-5.021,0.0311,134.945
248337,0.405,0.0948,0.846,0.0,0.0666,0.602,-3.57,0.195,82.232
200373,0.731,0.0395,0.867,0.0,0.0861,0.776,-5.881,0.032,104.019
255506,0.667,0.189,0.716,0.0,0.104,0.493,-5.21,0.0349,108.002
173693,0.705,0.0978,0.936,0.000124,0.0506,0.939,-5.109,0.0306,109.004
278186,0.673,0.0325,0.819,0.000113,0.138,0.491,-4.272,0.0435,120.016
192533,0.802,0.0011,0.903,0.0,0.173,0.96,-3.267,0.046,128.93
203333,0.829,0.226,0.915,1.25e-05,0.246,0.779,-3.205,0.106,118.903
231626,0.726,0.00217,0.938,1.89e-06,0.286,0.978,-2.52,0.0419,126.024
215533,0.899,0.0499,0.857,0.0299,0.112,0.961,-6.128,0.037,125.072
296960,0.702,0.014,0.875,0.0,0.0872,0.905,-3.588,0.0283,103.002
248413,0.794,0.0426,0.811,1.07e-06,0.101,0.862,-8.966,0.038,116.047
241666,0.543,0.137,0.642,0.0,0.243,0.749,-6.533,0.0888,117.923
251240,0.788,0.25,0.844,0.000678,0.0723,0.382,-3.131,0.0334,113.324
199480,0.707,0.1,0.861,0.0,0.191,0.795,-4.225,0.316,130.021
239960,0.744,0.627,0.453,0.421,0.0898,0.122,-11.977,0.0348,103.773
231373,0.648,0.021,0.942,0.0,0.0594,0.73,-2.881,0.0878,129.007
219493,0.727,0.00417,0.937,0.0,0.091,0.749,-2.871,0.286,132.067
254933,0.518,0.174,0.901,0.0314,0.0712,0.873,-3.749,0.093,115.026
247026,0.738,0.0034,0.922,0.0,0.0986,0.689,-3.94,0.0833,116.024
263093,0.631,0.0457,0.77,0.0,0.481,0.734,-5.315,0.0267,102.348
230640,0.766,0.0263,0.563,0.683,0.115,0.964,-7.516,0.0339,126.007
218733,0.832,0.0791,0.838,0.0,0.152,0.965,-5.414,0.0421,100.021
235213,0.727,0.103,0.974,0.000532,0.174,0.965,-2.261,0.0664,79.526
215106,0.459,0.604,0.575,0.0,0.0885,0.183,-4.858,0.0573,111.881
169973,0.773,0.836,0.437,2.42e-05,0.544,0.707,-8.281,0.0963,103.861
242013,0.585,0.721,0.436,1.31e-05,0.105,0.132,-8.761,0.0601,143.874
208211,0.545,0.969,0.366,0.267,0.641,0.1,-9.51,0.0378,86.997
161612,0.372,0.436,0.255,0.0,0.33,0.254,-6.834,0.0344,114.402
218883,0.713,0.841,0.452,0.0038,0.105,0.235,-9.638,0.0295,102.963
198370,0.449,0.524,0.465,1.02e-06,0.303,0.543,-8.964,0.0791,89.087
175933,0.395,0.765,0.443,9.67e-06,0.0839,0.338,-9.72,0.133,168.924
202009,0.608,0.854,0.358,0.0186,0.113,0.365,-10.018,0.0253,103.94
212496,0.671,0.705,0.336,0.00751,0.0577,0.518,-8.494,0.241,75.051
